01000010         P0010 进气VVT(可变气门正时)阀控制线路故障 
01000012         P0012 进气VVT(可变气门正时)位置信号不合理 
01000013         P0013 排气VVT(可变气门正时)阀控制线路故障 
01000015         P0015 排气VVT(可变气门正时)位置信号不合理 
01000105         P0105 进气压力传感器线路故障 
01000106         P0106 进气压力传感器信号不合理 
01000107         P0107 进气压力传感器信号电路电压过低 
01000108         P0108 进气压力传感器线路电压过高 
01000110         P0110 进气温度传感器线路故障 
01000111         P0111 进气温度传感器信号不合理 
01000112         P0112 进气温度传感器信号电路电压过低 
01000113         P0113 进气温度传感器信号电路电压过高 
01000115         P0115 冷却液温度传感器线路故障 
01000116         P0116 冷却液温度传感器信号不合理 
01000117         P0117 冷却液温度传感器信号电路电压过低 
01000118         P0118 冷却液温度传感器信号电路电压过高 
01000120         P0120 节气门传感器线路故障 
01000121         P0121 节气门传感器信号不合理 
01000122         P0122 节气门传感器信号电路电压过低 
01000123         P0123 节气门传感器信号电路电压过高 
01000130         P0130 前氧传感器信号不良 
01000131         P0131 前氧传感器线路电压太低或短路 
01000132         P0132 前氧传感器线路电压太高 
01000133         P0133 前氧传感器反应慢 
01000134         P0134 前氧传感器线路开路 
01000135         P0135 前氧传感器的加热线路故障 
01000136         P0136 后氧传感器信号不良 
01000137         P0137 后氧传感器电压低 
01000138         P0138 后氧传感器电压高 
01000140         P0140 后氧传感器线路开路故障 
01000141         P0141 后氧传感器的加热线路故障 
01000170         P0170 燃料修正(混合比)不良 
01000171         P0171 混合比太稀 
01000172         P0172 混合比太浓 
01000201         P0201 第1缸喷油器控制线路失效 
01000202         P0202 第2缸喷油器控制线路失效 
01000203         P0203 第3缸喷油器控制线路失效 
01000204         P0204 第4缸喷油器控制线路失效 
01000209         p0209 发动机超过最高转速限制 
01000230         P0230 燃油泵控制线路失效 
01000300         P0300 发动机失火 
01000301         P0301 发动机1缸失火 
01000302         P0302 发动机2缸失火 
01000303         P0303 发动机3缸失火 
01000304         P0304 发动机4缸失火 
01000325         P0325 爆震传感器线路故障 
01000335         P0335 曲轴58X传感器线路失效(无信号) 
01000336         P0336 曲轴58X传感器信号不正确 
01000340         P0340 凸轮轴传感器线路失效(无信号) 
01000341         P0341 凸轮轴传感器线路信号不正确 
01000351         P0351 点火线圈1缸控制线路失效 
01000352         P0352 点火线圈2缸控制线路失效 
01000353         P0353 点火线圈3缸控制线路失效 
01000354         P0354 点火线圈4缸控制线路失效 
01000420         P0420 三元催化剂净化效率太低 
01000443         P0443 碳罐电磁阀控制线路失效 
01000480         P0480 低速冷却风扇控制线路故障 
01000481         P0481 高速冷却风扇控制线路故障 
01000482         P0482 空调冷凝器风扇控制线路故障 
01000490         p0490 起动继电器控制线路故障 
01000500         P0500 车速传感器线路故障 
01000502         P0502 转速输出线路故障 
01000504         P0504 制动开关相关性故障 
01000506         P0506 怠速低于目标怠速 
01000507         P0507 怠速高于目标怠速 
01000537         P0537 空调温度传感器线路低电压 
01000538         P0538 空调温度传感器线路高电压 
01000560         P0560 系统电压不合理 
01000561         P0561 系统电压过低 
01000562         P0562 系统电压过高 
01000645         P0645 A/C(空调)压缩机继电器控制线路故障 
01000650         P0650 故障指示灯线路失效 
01000651         P0651 SVS(系统维修指示灯)线路失效 
01000807         p0807 离合器开关线路低电压 
01000808         p0808 离合器开关线路高电压 
01000809         p0809 空档开关失效 
01001523         p1523 安全气囊信号异常 
01001611         p1611 PIN码输入错误 
01001612         P1612 PEPS(无钥匙控制系统)无响应 
01001613         P1613 PEPS(无钥匙控制系统)钥匙认证失败 
01002108         P2108 电子节气门复位故障 
01002109         P2109 电子节气门关闭复位故障 
01002110         P2110 电子节气门打开复位故障 
01002115         P2115 油门踏板线路故障 
01002116         P2116 油门踏板信号不合理 
01002117         P2117 油门踏板电压过低 
01002118         P2118 油门踏板电压过高 
01002187         P2187 怠速工况燃油系统过稀 
01002188         P2188 怠速工况燃油系统过浓 
01003054         P3054 发动机起动异常 
01007300         P7300 CAN通讯故障 
01007301         p7301 报文接受错误 
01007302         p7302 报文发动错误 
01007401         P7401 与EPS(电动助力转向系统)丢失通信 
01007402         P7402 与ABS(防抱死刹车系统)丢失通信 
01007403         P7403 与ESP(电控稳定系统)丢失通信 
01015317         C1317 角度传感器未进行零位学习 
01015611         C1611 传感器主信号值超界 
01015612         C1612 传感器副信号值超界 
01015613         C1613 传感器主副信号和超界 
01015614         C1614 扭矩采样超时 
